Month,"Sales, in Thousands of Bottles"
1962-01-01,2.851
1962-02-01,2.672
1962-03-01,2.755
1962-04-01,2.721
1962-05-01,2.946
1962-06-01,3.036
1962-07-01,2.282
1962-08-01,2.212
1962-09-01,2.922
1962-10-01,4.301
1962-11-01,5.764
1962-12-01,7.132
1963-01-01,2.541
1963-02-01,2.475
1963-03-01,3.031
1963-04-01,3.266
1963-05-01,3.776
1963-06-01,3.23
1963-07-01,3.028
1963-08-01,1.759
1963-09-01,3.595
1963-10-01,4.474
1963-11-01,6.838
1963-12-01,8.357
1964-01-01,3.113
1964-02-01,3.006
1964-03-01,4.047
1964-04-01,3.523
1964-05-01,3.937
1964-06-01,3.986
1964-07-01,3.26
1964-08-01,1.573
1964-09-01,3.528
1964-10-01,5.211
1964-11-01,7.614
1964-12-01,9.254
1965-01-01,5.375
1965-02-01,3.088
1965-03-01,3.718
1965-04-01,4.514
1965-05-01,4.52
1965-06-01,4.539
1965-07-01,3.663
1965-08-01,1.643
1965-09-01,4.739
1965-10-01,5.428
1965-11-01,8.314
1965-12-01,10.651
1966-01-01,3.633
1966-02-01,4.292
1966-03-01,4.154
1966-04-01,4.121
1966-05-01,4.647
1966-06-01,4.753
1966-07-01,3.965
1966-08-01,1.723
1966-09-01,5.048
1966-10-01,6.922
1966-11-01,9.858
1966-12-01,11.331
1967-01-01,4.016
1967-02-01,3.957
1967-03-01,4.51
1967-04-01,4.276
1967-05-01,4.968
1967-06-01,4.677
1967-07-01,3.523
1967-08-01,1.821
1967-09-01,5.222
1967-10-01,6.873
1967-11-01,10.803
1967-12-01,13.916
1968-01-01,2.639
1968-02-01,2.899
1968-03-01,3.37
1968-04-01,3.74
1968-05-01,2.927
1968-06-01,3.986
1968-07-01,4.217
1968-08-01,1.738
1968-09-01,5.221
1968-10-01,6.424
1968-11-01,9.842
1968-12-01,13.076
1969-01-01,3.934
1969-02-01,3.162
1969-03-01,4.286
1969-04-01,4.676
1969-05-01,5.01
1969-06-01,4.874
1969-07-01,4.633
1969-08-01,1.659
1969-09-01,5.951
1969-10-01,6.981
1969-11-01,9.851
1969-12-01,12.67
