Year,"GDP, Current Dollars, billions","GDP, Real (1996) Dollars, billions"
1929,103.7,822.2
1930,91.3,751.5
1931,76.6,703.6
1932,58.8,611.8
1933,56.4,603.3
1934,66.0,668.3
1935,73.3,728.3
1936,83.7,822.5
1937,91.9,865.8
1938,86.1,835.6
1939,92.0,903.5
1940,101.3,980.7
1941,126.7,1148.8
1942,161.8,1360.0
1943,198.4,1583.7
1944,219.7,1714.1
1945,223.0,1693.3
1946,222.3,1505.5
1947,244.4,1495.1
1948,269.6,1560.0
1949,267.7,1550.9
1950,294.3,1686.6
1951,339.5,1815.1
1952,358.6,1887.3
1953,379.9,1973.9
1954,381.1,1960.5
1955,415.2,2099.5
1956,438.0,2141.1
1957,461.5,2183.9
1958,467.9,2162.8
1959,507.4,2319.0
1960,527.4,2376.7
1961,545.7,2432.0
1962,586.5,2578.9
1963,618.7,2690.4
1964,664.4,2846.5
1965,720.1,3028.5
1966,789.3,3227.5
1967,834.1,3308.3
1968,911.5,3466.1
1969,985.3,3571.4
1970,1039.7,3578.0
1971,1128.6,3697.7
1972,1240.4,3898.4
1973,1385.5,4123.4
1974,1501.0,4099.0
1975,1635.2,4084.4
1976,1823.9,4311.7
1977,2031.4,4511.8
1978,2295.9,4760.6
1979,2566.4,4912.1
1980,2795.6,4900.9
1981,3131.3,5021.0
1982,3259.2,4919.3
1983,3534.9,5132.3
1984,3932.7,5505.2
1985,4213.0,5717.1
1986,4452.9,5912.4
1987,4742.5,6113.3
1988,5108.3,6368.4
1989,5489.1,6591.8
1990,5803.2,6707.9
1991,5986.2,6676.4
1992,6318.9,6880.0
1993,6642.3,7062.6
1994,7054.3,7347.7
1995,7400.5,7543.8
1996,7813.2,7813.2
1997,8318.4,8159.5
1998,8781.5,8508.9
1999,9274.3,8859.0
2000,9824.6,9191.4
2001,10082.2,9214.5
2002,10446.2,9439.9
