Year,"BTUs, billions"
1949,31981503
1950,34615768
1951,36974030
1952,36747825
1953,37664468
1954,36639382
1955,40207971
1956,41754252
1957,41787186
1958,41645028
1959,43465722
1960,45086870
1961,45739017
1962,47827707
1963,49646160
1964,51817177
1965,54017221
1966,57016544
1967,58908107
1968,62419392
1969,65620879
1970,67844161
1971,69288965
1972,72704267
1973,75708364
1974,73990880
1975,71999191
1976,76012373
1977,77999554
1978,79986371
1979,80903214
1980,78280238
1981,76342955
1982,73286151
1983,73145527
1984,76792960
1985,76579965
1986,76825812
1987,79223446
1988,82869321
1989,84999308
1990,84729945
1991,84667227
1992,86014860
1993,87652195
1994,89291713
1995,91199841
1996,94225791
1997,94800047
1998,95200433
1999,96836647
2000,98976371
2001,96497865
2002,97966872
2003,98273323
2004,100414461
2005,99894296
