Fiscal Year,"Amount Refunded, millions dollars","National Population, thousands"
1987,96969,242288.918
1988,94480,244498.982
1989,93613,246819.23
1990,99656,249464.396
1991,104380,252153.092
1992,113108,255029.699
1993,93580,257782.608
1994,96980,260327.021
1995,108035,262803.276
1996,132710,265228.572
1997,142599,267783.607
1998,153828,270248.003
1999,185282,272690.813
2000,195751,282193.477
2001,252787,285107.923
2002,257644,287984.799
2003,296064,290850.005
2004,270893,293656.842
2005,255439,296410.404
2006,263501,299102.661
