Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,6.99,7.13,7.4,8.09,9.41,9.04,8.84,8.84,8.81,8.95,7.17,7.26
2002,7.01,7.17,7.46,7.69,9.37,8.97,8.65,8.78,8.79,8.99,7.37,7.46
2003,7.06,7.57,7.59,7.82,9.52,9.09,8.78,8.74,8.7,8.83,7.21,7.55
2004,7.27,7.49,7.61,8.05,9.26,9.1,8.88,8.87,8.96,8.79,8.05,7.86
2005,7.75,7.99,8.19,8.67,9.6,9.41,9.3,9.28,9.3,9.23,8.12,7.88
2006,8.05,8.21,8.38,8.92,10.19,10.05,9.9,9.88,9.89,9.88,8.74,8.56
2007,8.33,8.46,8.8,9.19,10.2,9.96,10.37,10.33,10.17,10.16,9.08,8.89
2008,8.85,9.02,9.38,10.02,11.03,11.06,10.95,10.86,10.63,10.46,9.55,9.61
2009,9.51,9.82,9.93,10.65,11.33,11.27,11.3,11.29,11.17,10.97,9.86,9.7
2010,9.57,9.84,9.98,10.24,11.75,11.74,11.78,11.59,11.52,10.96,10.14,10
2011,9.84,9.93,10.25,10.97,11.77,11.77,11.85,11.67,11.53,11.08,10.31,9.98
2012,10.01,10.26,10.44,11.17,11.88,11.9,11.86,11.83,11.66,11.36,10.73,10.41
2013,10.25,10.7,10.87,11.74,12.17,12.18,12.51,12.33,12.22,12.02,11.06,11.01
2014,10.92,11.23,11.32,11.97,-,-,-,-,-,-,-,-
