Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2001,1372,1439,1499,1399,1340,1018,1121,1411,1560,1492,1578,1709
2002,1627,1457,1536,1560,1575,1431,1567,1267,1421,1619,1531,1592
2003,1617,1445,1598,1464,1482,1514,1406,1520,1560,1578,1574,1550
2004,1560,1335,1626,1645,1685,1617,1715,1471,1607,1726,1543,1731
2005,1577,1536,1632,1605,1568,1541,1518,1591,1459,1536,1485,1470
2006,1459,1351,1471,1330,1518,1377,1547,1364,1086,1456,1429,1450
2007,1266,1194,1290,1256,1290,1258,1240,1340,1159,1382,1264,1231
2008,1255,1024,1242,1101,1275,1138,1268,1141,1085,1196,1155,1156
2009,1201,1067,1140,1110,1081,1066,1112,1061,1129,1051,925,959
2010,1095,937,1014,1116,1061,906,1110,710,1014,1080,1009,1106
2011,987,791,964,925,1090,872,937,906,861,859,930,818
2012,826,830,854,867,866,860,853,820,724,824,819,838
2013,787,752,808,764,756,682,741,679,635,720,687,671
2014,675,637,691,659,--,--,--,--,--,--,--,--
