Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Week,1997,1998,1999,2000,2001,2002,2003.0,2004,2005,2006,2007,2008.0,2009,2010,2011,2012,2013,2014
1,-,19.3,9.39,24.97,13.37,9.74,5.62,12.43,18.57,11.72,6.97,8.55,8.44,4.01,25.17,3.22,35.42,29.18
2,-,20.92,14.76,21.3,17.8,13.85,8.8,9.33,16.94,13.22,9.24,13.59,10.86,4.76,29.28,4.4,34.26,27.33
3,-,25.61,20.3,16.73,22.11,19.74,11.49,6.01,21.34,14.12,11.58,16.8,16.05,5.63,33.52,5.97,30.65,26.39
4,-,28.07,22.07,12.68,23.22,21.37,16.32,3.98,23.3,15.73,18.19,22.71,20.76,5.11,34.34,8.1,29.8,23.9
5,-,26.72,27.32,10.66,20.93,22.8,20.5,2.92,26.87,16.69,22.38,28.46,23.93,5.16,35.4,10.88,26.65,20.18
6,-,24.37,28.29,10.15,18.99,22.79,26.36,1.84,26.55,17.95,28.18,31.75,25.27,4.56,34.66,12.62,22.83,18.73
7,-,20.13,25.51,7.47,15.43,23.86,25.32,1.79,25.55,19.57,25.8,31.82,24.81,4.78,34.85,14.84,20.68,16.47
8,-,14.24,25.23,6.37,13.94,24.91,22.55,1.48,23.46,20.45,23.8,30.4,24.54,5.42,30.98,19,19.76,13.53
9,-,9.69,23.38,3.71,11.46,22.92,22.22,0.68,19.95,22.59,22.57,27.65,24.35,6.14,27.51,23.82,18.81,11.94
10,-,7.6,20.59,3.42,7.2,21.18,18.69,0.59,16.04,22.43,20.25,23.68,22.38,6.61,23.79,28.18,18.01,10.84
11,-,5.42,15.62,2.7,5.91,18.52,17.12,0.58,16.94,19.74,19.53,22.01,20.55,5.71,20.28,30.72,16.47,11.11
12,-,4.1,14.31,1.76,5.78,15.12,14.64,1.33,14.66,18.47,16.87,20.39,16.74,4.42,16.12,27.53,15.63,12.53
13,-,2.79,8.26,1.23,4.38,13.75,9.96,0.92,11.04,17.98,13.76,17.78,13.83,4.35,12.8,21.56,14.48,13.22
14,-,2.22,7.92,1.26,3.27,12.41,8.55,0.51,9.12,13.57,11.03,14.54,10.66,2.76,9.81,22.08,13.91,14.39
15,-,2.87,6.45,1.7,2.23,10.86,5.16,0.96,5.27,11.36,12.14,11.77,7.19,2.05,7.12,20.45,10.79,15
16,-,1.48,2.63,1.9,2.58,13.09,5.01,1.66,4.19,9.89,9.67,8.51,7.68,1.26,4.42,20.64,8.62,13.72
17,-,1.29,2.53,1.44,1.28,8.57,4.13,0.8,2.68,7.48,9.75,5.37,12.46,0.71,3.35,17.27,8.11,13.08
18,-,1.4,1.73,0.94,0.59,10.23,5.56,0.69,2.27,7.75,6.75,4.63,15.02,0.8,1.91,15.99,6.81,12.62
19,-,0.87,1.12,0.21,0.52,8.76,2.5,0.16,1.73,7.22,4.98,2.56,18.09,0.62,1.1,15.17,5.82,10.9
20,-,0.96,1.13,0.23,0.68,6,2.04,0.36,2.06,5.63,3.93,1.57,26.79,0.52,0.84,13.33,4.87,9.81
21,-,NR,NR,NR,NR,NR,1.83,0.57,1.71,6.32,4.32,1.37,33.49,0.19,0.67,11.16,4.49,8.39
22,-,NR,NR,NR,NR,NR,0.85,0.73,1.37,4.69,1.77,0.99,39.48,0.28,0.53,10.91,4.58,8.77
23,-,NR,NR,NR,NR,NR,1.8,0.38,0.76,3.81,1.2,0.92,41.61,0.28,0.27,9.59,4.17,6.65
24,-,NR,NR,NR,NR,NR,1.02,0.24,0.99,1.97,1.7,0.8,43.05,0.44,0.43,9.97,4.28,6.62
