Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2003,-,-,-,-,-,-,-,-,-,-,184,178
2004,212,229,453,503,619,615,573,535,464,262,208,175
2005,166,216,385,508,529,549,579,474,443,302,224,170
2006,184,272,310,477,572,583,508,509,431,291,211,177
2007,220,263,396,466,590,634,542,511,432,316,233,179
2008,176,270,415,569,542,647,569,499,459,333,208,157
2009,214,240,423,487,593,586,638,617,523,367,283,196
2010,213,282,440,546,672,703,665,595,570,322,244,153
2011,242,294,389,533,584,703,597,625,488,371,248,214
2012,246,321,425,560,713,733,550,517,485,367,241,158
2013,232,333,457,506,541,645,494,463,412,320,207,180
2014,205,265,401,479,549,642,-,-,-,-,-,-
