Month,"Dollars, in Millions",Month.1,"Dollars, in Millions.1",Month.2,"Dollars, in Millions.2",Month.3,"Dollars, in Millions.3"
1992-01-01,3519,1995-10-01,4681,1999-07-01,5339,2003-04-01,5576
1992-02-01,3803,1995-11-01,4466,1999-08-01,5474,2003-05-01,6160
1992-03-01,4332,1995-12-01,4463,1999-09-01,5278,2003-06-01,6121
1992-04-01,4251,1996-01-01,4217,1999-10-01,5184,2003-07-01,5900
1992-05-01,4661,1996-02-01,4322,1999-11-01,4975,2003-08-01,5994
1992-06-01,4811,1996-03-01,4779,1999-12-01,4751,2003-09-01,5841
1992-07-01,4448,1996-04-01,4988,2000-01-01,4600,2003-10-01,5832
1992-08-01,4451,1996-05-01,5383,2000-02-01,4718,2003-11-01,5505
1992-09-01,4343,1996-06-01,5591,2000-03-01,5218,2003-12-01,5573
1992-10-01,4067,1996-07-01,5322,2000-04-01,5336,2004-01-01,5331
1992-11-01,4001,1996-08-01,5404,2000-05-01,5665,2004-02-01,5355
1992-12-01,3934,1996-09-01,5106,2000-06-01,5900,2004-03-01,6057
1993-01-01,3652,1996-10-01,4871,2000-07-01,5330,2004-04-01,6055
1993-02-01,3768,1996-11-01,4977,2000-08-01,5626,2004-05-01,6771
1993-03-01,4082,1996-12-01,4706,2000-09-01,5512,2004-06-01,6669
1993-04-01,4101,1997-01-01,4193,2000-10-01,5293,2004-07-01,6375
1993-05-01,4628,1997-02-01,4460,2000-11-01,5143,2004-08-01,6666
1993-06-01,4898,1997-03-01,4956,2000-12-01,4842,2004-09-01,6383
1993-07-01,4476,1997-04-01,5022,2001-01-01,4627,2004-10-01,6118
1993-08-01,4728,1997-05-01,5408,2001-02-01,4981,2004-11-01,5927
1993-09-01,4458,1997-06-01,5565,2001-03-01,5321,2004-12-01,5750
1993-10-01,4004,1997-07-01,5360,2001-04-01,5290,2005-01-01,5122
1993-11-01,4095,1997-08-01,5490,2001-05-01,6002,2005-02-01,5398
1993-12-01,4056,1997-09-01,5286,2001-06-01,5811,2005-03-01,5817
1994-01-01,3641,1997-10-01,5257,2001-07-01,5671,2005-04-01,6163
1994-02-01,3966,1997-11-01,5002,2001-08-01,6102,2005-05-01,6763
1994-03-01,4417,1997-12-01,4897,2001-09-01,5482,2005-06-01,6835
1994-04-01,4367,1998-01-01,4577,2001-10-01,5429,2005-07-01,6678
1994-05-01,4821,1998-02-01,4764,2001-11-01,5356,2005-08-01,6821
1994-06-01,5190,1998-03-01,5052,2001-12-01,5167,2005-09-01,6421
1994-07-01,4638,1998-04-01,5251,2002-01-01,4608,2005-10-01,6338
1994-08-01,4904,1998-05-01,5558,2002-02-01,4889,2005-11-01,6265
1994-09-01,4528,1998-06-01,5931,2002-03-01,5352,2005-12-01,6291
1994-10-01,4383,1998-07-01,5476,2002-04-01,5441,2006-01-01,5540
1994-11-01,4339,1998-08-01,5603,2002-05-01,5970,2006-02-01,5822
1994-12-01,4327,1998-09-01,5425,2002-06-01,5750,2006-03-01,6318
1995-01-01,3856,1998-10-01,5177,2002-07-01,5670,2006-04-01,6268
1995-02-01,4072,1998-11-01,4792,2002-08-01,5860,2006-05-01,7270
1995-03-01,4563,1998-12-01,4776,2002-09-01,5449,2006-06-01,7096
1995-04-01,4561,1999-01-01,4450,2002-10-01,5401,2006-07-01,6505
1995-05-01,4984,1999-02-01,4659,2002-11-01,5240,2006-08-01,7039
1995-06-01,5316,1999-03-01,5043,2002-12-01,5229,2006-09-01,6440
1995-07-01,4843,1999-04-01,5233,2003-01-01,4770,2006-10-01,6446
1995-08-01,5383,1999-05-01,5423,2003-02-01,5006,2006-11-01,6717
1995-09-01,4889,1999-06-01,5814,2003-03-01,5518,2006-12-01,6320
