Year,Sunspot Number,Year.1,Sunspot Number.1,Year.2,Sunspot Number.2,Year.3,Sunspot Number.3,Year.4,Sunspot Number.4
1700,5.1,1761,86.0,1822,4.1,1883,63.8,1944,9.7
1701,11.1,1762,61.3,1823,1.9,1884,63.6,1945,33.3
1702,16.1,1763,45.2,1824,8.6,1885,52.3,1946,92.7
1703,23.1,1764,36.5,1825,16.7,1886,25.5,1947,151.7
1704,36.1,1765,21.0,1826,36.4,1887,13.2,1948,136.4
1705,58.1,1766,11.5,1827,49.7,1888,6.9,1949,134.8
1706,29.1,1767,37.9,1828,64.3,1889,6.4,1950,84.0
1707,20.1,1768,69.9,1829,67.1,1890,7.2,1951,69.5
1708,10.1,1769,106.2,1830,71.0,1891,35.7,1952,31.6
1709,8.1,1770,100.9,1831,47.9,1892,73.1,1953,14.0
1710,3.1,1771,81.7,1832,27.6,1893,85.2,1954,4.5
1711,0.1,1772,66.6,1833,8.6,1894,78.1,1955,38.1
1712,0.1,1773,34.9,1834,13.3,1895,64.1,1956,141.8
1713,2.1,1774,30.7,1835,57.0,1896,41.9,1957,190.3
1714,11.1,1775,7.1,1836,121.6,1897,26.3,1958,184.9
1715,27.1,1776,19.9,1837,138.4,1898,26.8,1959,159.1
1716,47.1,1777,92.6,1838,103.3,1899,12.2,1960,112.4
1717,63.1,1778,154.5,1839,85.8,1900,9.6,1961,54.0
1718,60.1,1779,126.0,1840,64.7,1901,2.8,1962,37.7
1719,39.1,1780,84.9,1841,36.8,1902,5.1,1963,28.0
1720,28.1,1781,68.2,1842,24.3,1903,24.5,1964,10.3
1721,26.1,1782,38.6,1843,10.8,1904,42.1,1965,15.2
1722,22.1,1783,22.9,1844,15.1,1905,63.6,1966,47.1
1723,11.1,1784,10.3,1845,40.2,1906,53.9,1967,93.8
1724,21.1,1785,24.2,1846,61.6,1907,62.1,1968,106.0
1725,40.1,1786,83.0,1847,98.6,1908,48.6,1969,105.6
1726,78.1,1787,132.1,1848,124.8,1909,44.0,1970,104.6
1727,122.1,1788,131.0,1849,96.4,1910,18.7,1971,66.7
1728,103.1,1789,118.2,1850,66.7,1911,5.8,1972,69.0
1729,73.1,1790,90.0,1851,64.6,1912,3.7,1973,38.1
1730,47.1,1791,66.7,1852,54.2,1913,1.5,1974,34.6
1731,35.1,1792,60.1,1853,39.1,1914,9.7,1975,15.6
1732,11.1,1793,47.0,1854,20.7,1915,47.5,1976,12.7
1733,5.1,1794,41.1,1855,6.8,1916,57.2,1977,27.6
1734,16.1,1795,21.4,1856,4.4,1917,104.0,1978,92.6
1735,34.1,1796,16.1,1857,22.8,1918,80.7,1979,155.5
1736,70.1,1797,6.5,1858,54.9,1919,63.7,1980,154.7
1737,81.1,1798,4.2,1859,93.9,1920,37.7,1981,140.6
1738,111.1,1799,6.9,1860,95.9,1921,26.2,1982,116.0
1739,101.1,1800,14.6,1861,77.3,1922,14.3,1983,66.7
1740,73.1,1801,34.1,1862,59.2,1923,5.9,1984,46.0
1741,40.1,1802,45.1,1863,44.1,1924,16.8,1985,18.0
1742,20.1,1803,43.2,1864,47.1,1925,44.4,1986,13.5
1743,16.1,1804,47.6,1865,30.6,1926,64.0,1987,29.3
1744,5.1,1805,42.3,1866,16.4,1927,69.1,1988,100.3
1745,11.1,1806,28.2,1867,7.4,1928,77.9,1989,157.7
1746,22.1,1807,10.2,1868,37.7,1929,65.0,1990,142.7
1747,40.1,1808,8.2,1869,74.1,1930,35.8,1991,145.8
1748,60.1,1809,2.6,1870,139.1,1931,21.3,1992,94.4
1749,81.0,1810,0.1,1871,111.3,1932,11.2,1993,54.7
1750,83.5,1811,1.5,1872,101.7,1933,5.8,1994,30.0
1751,47.8,1812,5.1,1873,66.3,1934,8.8,1995,17.6
1752,47.9,1813,12.3,1874,44.8,1935,36.2,1996,8.7
1753,30.8,1814,14.0,1875,17.1,1936,79.8,1997,21.6
1754,12.3,1815,35.5,1876,11.4,1937,114.5,1998,64.4
1755,9.7,1816,45.9,1877,12.5,1938,109.7,1999,93.4
1756,10.3,1817,41.1,1878,3.5,1939,88.9,2000,119.7
1757,32.5,1818,30.2,1879,6.1,1940,67.9,2001,111.1
1758,47.7,1819,24.0,1880,32.4,1941,47.6,2002,104.1
1759,54.1,1820,15.7,1881,54.4,1942,30.7,2003,63.8
1760,63.0,1821,6.7,1882,59.8,1943,16.4,2004,40.5
