Year,National Population,National Population (1000)
1900,76094000,76094.0
1901,77584000,77584.0
1902,79163000,79163.0
1903,80632000,80632.0
1904,82166000,82166.0
1905,83822000,83822.0
1906,85450000,85450.0
1907,87008000,87008.0
1908,88710000,88710.0
1909,90490000,90490.0
1910,92407000,92407.0
1911,93863000,93863.0
1912,95335000,95335.0
1913,97225000,97225.0
1914,99111000,99111.0
1915,100546000,100546.0
1916,101961000,101961.0
1917,103268000,103268.0
1918,103208000,103208.0
1919,104514000,104514.0
1920,106461000,106461.0
1921,108538000,108538.0
1922,110049000,110049.0
1923,111947000,111947.0
1924,114109000,114109.0
1925,115829000,115829.0
1926,117397000,117397.0
1927,119035000,119035.0
1928,120509000,120509.0
1929,121767000,121767.0
1930,123076741,123076.741
1931,124039648,124039.648
1932,124840471,124840.471
1933,125578763,125578.763
1934,126373773,126373.773
1935,127250232,127250.232
1936,128053180,128053.18
1937,128824829,128824.829
1938,129824939,129824.939
1939,130879718,130879.718
1940,132122446,132122.446
1941,133402471,133402.471
1942,134859553,134859.553
1943,136739353,136739.353
1944,138397345,138397.345
1945,139928165,139928.165
1946,141388566,141388.566
1947,144126071,144126.071
1948,146631302,146631.302
1949,149188130,149188.13
1950,152271417,152271.417
1951,154877889,154877.889
1952,157552740,157552.74
1953,160184192,160184.192
1954,163025854,163025.854
1955,165931202,165931.202
1956,168903031,168903.031
1957,171984130,171984.13
1958,174881904,174881.904
1959,177829628,177829.628
1960,180671158,180671.158
1961,183691481,183691.481
1962,186537737,186537.737
1963,189241798,189241.798
1964,191888791,191888.791
1965,194302963,194302.963
1966,196560338,196560.338
1967,198712056,198712.056
1968,200706052,200706.052
1969,202676946,202676.946
1970,205052174,205052.174
1971,207660677,207660.677
1972,209896021,209896.021
1973,211908788,211908.788
1974,213853928,213853.928
1975,215973199,215973.199
1976,218035164,218035.164
1977,220239425,220239.425
1978,222584545,222584.545
1979,225055487,225055.487
1980,227224681,227224.681
1981,229465714,229465.714
1982,231664458,231664.458
1983,233791994,233791.994
1984,235824902,235824.902
1985,237923795,237923.795
1986,240132887,240132.887
1987,242288918,242288.918
1988,244498982,244498.982
1989,246819230,246819.23
1990,249464396,249464.396
1991,252153092,252153.092
1992,255029699,255029.699
1993,257782608,257782.608
1994,260327021,260327.021
1995,262803276,262803.276
1996,265228572,265228.572
1997,267783607,267783.607
1998,270248003,270248.003
1999,272690813,272690.813
2000,282193477,282193.477
2001,285107923,285107.923
2002,287984799,287984.799
2003,290850005,290850.005
2004,293656842,293656.842
2005,296410404,296410.404
2006,299102661,299102.661
